name@price@price_after_sell
'Blueberries' Buckshot | NSWC SEAL@4.11@3.9045
★ Driver Gloves | Snow Leopard (Field-Tested)@739.26@702.2969999999999
★ Driver Gloves | Snow Leopard (Minimal Wear)@1488.94@1414.493
★ Driver Gloves | Snow Leopard (Well-Worn)@549.99@522.4905
★ Falchion Knife@204.99@194.7405
★ Falchion Knife | Autotronic (Battle-Scarred)@182.53@173.40349999999998
★ Falchion Knife | Autotronic (Field-Tested)@221.73@210.6435
★ Falchion Knife | Autotronic (Minimal Wear)@276.37@262.5515
★ Falchion Knife | Autotronic (Well-Worn)@243.44@231.268
★ Falchion Knife | Black Laminate (Battle-Scarred)@139.24@132.278
★ Falchion Knife | Black Laminate (Field-Tested)@124.97@118.72149999999999
★ Falchion Knife | Black Laminate (Minimal Wear)@142.00@134.9
★ Falchion Knife | Black Laminate (Well-Worn)@124.44@118.21799999999999
★ Falchion Knife | Blue Steel (Battle-Scarred)@172.46@163.837
★ Falchion Knife | Blue Steel (Factory New)@235.44@223.66799999999998
★ Falchion Knife | Blue Steel (Minimal Wear)@169.41@160.93949999999998
★ Falchion Knife | Blue Steel (Well-Worn)@134.00@127.3
★ Falchion Knife | Boreal Forest (Battle-Scarred)@114.45@108.72749999999999
★ Falchion Knife | Boreal Forest (Field-Tested)@114.53@108.8035
★ Falchion Knife | Boreal Forest (Minimal Wear)@136.84@129.998
★ Falchion Knife | Boreal Forest (Well-Worn)@114.30@108.585
★ Falchion Knife | Bright Water (Battle-Scarred)@146.76@139.422
★ Falchion Knife | Bright Water (Factory New)@164.40@156.18
★ Falchion Knife | Bright Water (Field-Tested)@132.00@125.39999999999999
★ Falchion Knife | Bright Water (Minimal Wear)@166.10@157.795
★ Falchion Knife | Bright Water (Well-Worn)@235.00@223.25
★ Falchion Knife | Case Hardened (Battle-Scarred)@273.72@260.034
★ Falchion Knife | Case Hardened (Field-Tested)@187.97@178.5715
★ Falchion Knife | Case Hardened (Minimal Wear)@247.65@235.26749999999998
★ Falchion Knife | Case Hardened (Well-Worn)@204.72@194.48399999999998
★ Falchion Knife | Crimson Web (Battle-Scarred)@165.34@157.073
★ Falchion Knife | Crimson Web (Field-Tested)@191.98@182.38099999999997
★ Falchion Knife | Crimson Web (Well-Worn)@216.09@205.28549999999998
★ Falchion Knife | Damascus Steel (Battle-Scarred)@164.91@156.66449999999998
★ Falchion Knife | Damascus Steel (Factory New)@216.98@206.13099999999997
★ Falchion Knife | Damascus Steel (Field-Tested)@168.45@160.02749999999997
★ Falchion Knife | Damascus Steel (Minimal Wear)@204.79@194.55049999999997
★ Falchion Knife | Damascus Steel (Well-Worn)@175.45@166.67749999999998
★ Falchion Knife | Doppler (Factory New)@398.00@378.09999999999997
★ Falchion Knife | Doppler (Minimal Wear)@479.75@455.7625
★ Falchion Knife | Fade (Factory New)@494.40@469.67999999999995
★ Falchion Knife | Fade (Minimal Wear)@587.43@558.0585
★ Falchion Knife | Forest DDPAT (Field-Tested)@112.15@106.5425
★ Falchion Knife | Forest DDPAT (Minimal Wear)@111.74@106.15299999999999
★ Falchion Knife | Forest DDPAT (Well-Worn)@144.37@137.1515
★ Falchion Knife | Freehand (Battle-Scarred)@160.00@152.0
