name@price@price_after_sell
10 Year Birthday Sticker Capsule@0.72@0.6335999999999999
1st Lieutenant Farlow | SWAT@6.22@5.4736
AUG | Navy Murano (Battle-Scarred)@1.33@1.1704
AUG | Navy Murano (Factory New)@5.45@4.796
AUG | Navy Murano (Field-Tested)@1.46@1.2848
AUG | Navy Murano (Minimal Wear)@1.88@1.6543999999999999
AUG | Navy Murano (Well-Worn)@1.34@1.1792
AUG | Plague (Battle-Scarred)@1.01@0.8888
AUG | Plague (Factory New)@1.27@1.1176
AUG | Plague (Field-Tested)@0.92@0.8096
AUG | Plague (Minimal Wear)@1.06@0.9328000000000001
AUG | Plague (Well-Worn)@1.23@1.0824
AUG | Radiation Hazard (Battle-Scarred)@2.69@2.3672
AUG | Radiation Hazard (Factory New)@3.5@3.08
AUG | Radiation Hazard (Field-Tested)@2.32@2.0416
AUG | Radiation Hazard (Minimal Wear)@2.18@1.9184
AUG | Radiation Hazard (Well-Worn)@@
AUG | Random Access (Battle-Scarred)@1.19@1.0472
AUG | Random Access (Factory New)@4.39@3.8631999999999995
AUG | Random Access (Field-Tested)@0.99@0.8712
AUG | Random Access (Minimal Wear)@2.03@1.7863999999999998
AUG | Random Access (Well-Worn)@0.69@0.6072
AUG | Ricochet (Battle-Scarred)@0.06@0.0528
AUG | Ricochet (Factory New)@0.48@0.4224
AUG | Ricochet (Field-Tested)@0.11@0.0968
AUG | Ricochet (Minimal Wear)@0.21@0.1848
AUG | Ricochet (Well-Worn)@0.22@0.1936
AUG | Sand Storm (Battle-Scarred)@65.0@57.2
AUG | Sand Storm (Factory New)@55.26@48.6288
AUG | Sand Storm (Field-Tested)@51.08@44.9504
AUG | Sand Storm (Minimal Wear)@56.65@49.852
AUG | Sand Storm (Well-Worn)@@
AUG | Snake Pit (Battle-Scarred)@0.02@0.0176
AUG | Snake Pit (Factory New)@0.1@0.08800000000000001
AUG | Snake Pit (Field-Tested)@0.02@0.0176
AUG | Snake Pit (Minimal Wear)@0.03@0.0264
AUG | Snake Pit (Well-Worn)@0.02@0.0176
AUG | Spalted Wood (Battle-Scarred)@4.6@4.048
AUG | Spalted Wood (Factory New)@4.17@3.6696
AUG | Spalted Wood (Field-Tested)@3.98@3.5024
AUG | Spalted Wood (Minimal Wear)@4.07@3.5816000000000003
AUG | Spalted Wood (Well-Worn)@4.11@3.6168000000000005
AUG | Storm (Battle-Scarred)@0.02@0.0176
AUG | Storm (Factory New)@0.92@0.8096
AUG | Storm (Field-Tested)@0.02@0.0176
AUG | Storm (Minimal Wear)@0.02@0.0176
AUG | Storm (Well-Worn)@0.02@0.0176
