name@price@price_after_sell
FAMAS | Djinn (Battle-Scarred)@2.74@2.603
StatTrak™ Tec-9 | Isaac (Minimal Wear)@6.57@6.2415
P250 | Splash (Minimal Wear)@27.5@26.125
P250 | Cartel (Well-Worn)@8.82@8.379
Five-SeveN | Case Hardened (Battle-Scarred)@8.51@8.0845
Sawed-Off | The Kraken (Field-Tested)@5.19@4.9305
StatTrak™ CZ75-Auto | Tread Plate (Factory New)@20.47@19.446499999999997
StatTrak™ PP-Bizon | Antique (Battle-Scarred)@34.06@32.357
Five-SeveN | Fowl Play (Battle-Scarred)@2.03@1.9284999999999997
M4A4 | Faded Zebra (Factory New)@21.81@20.719499999999996
StatTrak™ P90 | Blind Spot (Minimal Wear)@14.48@13.756
StatTrak™ P90 | Blind Spot (Well-Worn)@28.53@27.1035
XM1014 | Tranquility (Field-Tested)@7.41@7.039499999999999
StatTrak™ Desert Eagle | Crimson Web (Battle-Scarred)@21.44@20.368
StatTrak™ AUG | Torque (Well-Worn)@15.11@14.354499999999998
SCAR-20 | Cardiac (Well-Worn)@3.49@3.3155
M4A4 | Modern Hunter (Field-Tested)@40.52@38.494
MP7 | Whiteout (Well-Worn)@17.8@16.91
StatTrak™ UMP-45 | Riot (Factory New)@1.08@1.026
Souvenir PP-Bizon | Chemical Green (Minimal Wear)@4.05@3.8474999999999997
Souvenir Five-SeveN | Orange Peel (Battle-Scarred)@9.38@8.911
Five-SeveN | Fowl Play (Factory New)@9.13@8.6735
Sticker | Hostage Rescue@1.62@1.539
StatTrak™ XM1014 | Heaven Guard (Well-Worn)@16.33@15.513499999999997
StatTrak™ MAC-10 | Tatter (Field-Tested)@28.75@27.3125
AK-47 | Blue Laminate (Well-Worn)@18.39@17.4705
CZ75-Auto | Nitro (Minimal Wear)@11.99@11.3905
AWP | Snake Camo (Minimal Wear)@133.65@126.9675
Five-SeveN | Fowl Play (Field-Tested)@2.38@2.2609999999999997
Souvenir G3SG1 | Polar Camo (Well-Worn)@0.42@0.39899999999999997
Souvenir Five-SeveN | Forest Night (Battle-Scarred)@0.6@0.57
M4A4 | Zirka (Minimal Wear)@27.56@26.182
StatTrak™ Glock-18 | Bunsen Burner (Well-Worn)@1.95@1.8524999999999998
AUG | Bengal Tiger (Well-Worn)@10.29@9.7755
M4A1-S | Blood Tiger (Factory New)@5.28@5.016
StatTrak™ USP-S | Guardian (Field-Tested)@8.4@7.9799999999999995
Sticker | Fnatic (Holo) | Cologne 2014@33.0@31.349999999999998
Souvenir MAG-7 | Metallic DDPAT (Factory New)@1.53@1.4535
StatTrak™ Nova | Koi (Factory New)@5.21@4.9495
Souvenir SSG 08 | Blue Spruce (Well-Worn)@94.9@90.155
SCAR-20 | Cardiac (Field-Tested)@4.16@3.952
StatTrak™ Dual Berettas | Retribution (Factory New)@12.29@11.675499999999998
Desert Eagle | Midnight Storm (Minimal Wear)@26.91@25.5645
Sticker | Baaa-ckstabber!@1.3@1.2349999999999999
Galil AR | Chatterbox (Battle-Scarred)@10.83@10.288499999999999
StatTrak™ P250 | Supernova (Minimal Wear)@3.54@3.363
SCAR-20 | Cardiac (Battle-Scarred)@3.44@3.268
Nova | Bloomstick (Well-Worn)@22.03@20.9285
StatTrak™ P90 | Blind Spot (Battle-Scarred)@16.26@15.447000000000001
Nova | Bloomstick (Battle-Scarred)@9.64@9.158
Sticker | Bomb Doge@0.73@0.6935
Desert Eagle | Crimson Web (Minimal Wear)@34.49@32.7655
Souvenir SSG 08 | Tropical Storm (Field-Tested)@3.17@3.0115
Souvenir PP-Bizon | Brass (Battle-Scarred)@9.15@8.6925
USP-S | Overgrowth (Well-Worn)@25.67@24.3865
M4A4 | Zirka (Well-Worn)@31.12@29.564
AWP | Safari Mesh (Factory New)@2.53@2.4034999999999997
Sticker | Piece Of Cake@1.15@1.0924999999999998
AWP | Worm God (Factory New)@2.96@2.812
P250 | Cartel (Battle-Scarred)@5.78@5.491
MAC-10 | Graven (Battle-Scarred)@29.42@27.949
P250 | Cartel (Field-Tested)@5.55@5.2725
Sawed-Off | Orange DDPAT (Field-Tested)@18.59@17.6605
Nova | Bloomstick (Field-Tested)@9.34@8.873
Five-SeveN | Hot Shot (Factory New)@21.84@20.747999999999998
FAMAS | Spitfire (Battle-Scarred)@11.98@11.381
Sticker | Stupid Banana (Foil)@23.64@22.458
M4A4 | X-Ray (Field-Tested)@17.58@16.700999999999997
M4A1-S | Basilisk (Well-Worn)@10.05@9.5475
MP9 | Bulldozer (Field-Tested)@110.38@104.86099999999999
Souvenir SSG 08 | Tropical Storm (Battle-Scarred)@2.99@2.8405
Name Tag@1.67@1.5864999999999998
StatTrak™ P2000 | Red FragCam (Minimal Wear)@3.53@3.3534999999999995
Desert Eagle | Urban DDPAT (Factory New)@22.56@21.432
StatTrak™ AUG | Torque (Battle-Scarred)@13.73@13.0435
AWP | Sun in Leo (Battle-Scarred)@26.28@24.966
XM1014 | VariCamo Blue (Minimal Wear)@10.85@10.3075
StatTrak™ MP9 | Ruby Poison Dart (Minimal Wear)@3.84@3.6479999999999997
P250 | Muertos (Minimal Wear)@5.7@5.415
StatTrak™ MAG-7 | Firestarter (Factory New)@15.5@14.725
AK-47 | Blue Laminate (Factory New)@16.66@15.827
Sticker | Sneaky Beaky Like@0.4@0.38
Souvenir Glock-18 | Groundwater (Field-Tested)@6.02@5.718999999999999
AK-47 | Cartel (Field-Tested)@15.88@15.086
Souvenir M4A4 | Tornado (Well-Worn)@10.93@10.3835
USP-S | Overgrowth (Field-Tested)@26.9@25.554999999999996
AUG | Bengal Tiger (Field-Tested)@8.41@7.9895
StatTrak™ SG 553 | Pulse (Well-Worn)@8.13@7.7235000000000005
AK-47 | Cartel (Battle-Scarred)@16.94@16.093
Souvenir P90 | Fallout Warning (Field-Tested)@4.36@4.142
MAC-10 | Amber Fade (Factory New)@20.01@19.0095
Sticker | LGB eSports | Katowice 2015@618.3@587.3849999999999
StatTrak™ Five-SeveN | Nightshade (Factory New)@7.5@7.125
StatTrak™ USP-S | Blood Tiger (Factory New)@11.44@10.867999999999999
AUG | Chameleon (Minimal Wear)@3.97@3.7715
Sticker | Luck Skill (Foil)@4.2@3.9899999999999998
P2000 | Corticera (Field-Tested)@11.23@10.6685
P90 | Leather (Factory New)@25.99@24.690499999999997
StatTrak™ MAG-7 | Heat (Minimal Wear)@2.89@2.7455
Sticker | Natus Vincere (Holo) | Cologne 2014@70.33@66.81349999999999
AUG | Bengal Tiger (Battle-Scarred)@9.18@8.721
M4A4 | Zirka (Field-Tested)@26.89@25.5455
StatTrak™ XM1014 | Heaven Guard (Field-Tested)@19.0@18.05
StatTrak™ PP-Bizon | Cobalt Halftone (Factory New)@7.27@6.906499999999999
Sawed-Off | Orange DDPAT (Battle-Scarred)@19.08@18.125999999999998
Souvenir P2000 | Grassland (Minimal Wear)@0.62@0.589
MAG-7 | Counter Terrace (Minimal Wear)@199.99@189.9905
StatTrak™ PP-Bizon | Antique (Field-Tested)@18.99@18.040499999999998
StatTrak™ Dual Berettas | Panther (Minimal Wear)@4.72@4.484
Souvenir Negev | Nuclear Waste (Factory New)@4.12@3.9139999999999997
P2000 | Corticera (Minimal Wear)@11.81@11.2195
Sticker | Ninjas in Pyjamas (Holo) | DreamHack 2014@145.0@137.75
StatTrak™ Glock-18 | Blue Fissure (Field-Tested)@4.4@4.18
Galil AR | Orange DDPAT (Field-Tested)@20.16@19.151999999999997
PP-Bizon | Forest Leaves (Factory New)@39.35@37.3825
StatTrak™ CZ75-Auto | Hexane (Factory New)@13.03@12.378499999999999
P250 | Muertos (Well-Worn)@5.49@5.2155
M4A4 | 龍王 (Dragon King) (Field-Tested)@10.33@9.8135
Sticker | iBUYPOWER | Cologne 2014@81.91@77.8145
StatTrak™ FAMAS | Hexane (Minimal Wear)@6.89@6.5455
StatTrak™ CZ75-Auto | Poison Dart (Minimal Wear)@5.04@4.787999999999999
MP9 | Hot Rod (Factory New)@180.43@171.4085
Souvenir SG 553 | Fallout Warning (Well-Worn)@6.49@6.1655
MAC-10 | Graven (Field-Tested)@27.85@26.4575
StatTrak™ PP-Bizon | Water Sigil (Well-Worn)@7.72@7.334
M4A4 | 龍王 (Dragon King) (Battle-Scarred)@11.11@10.554499999999999
MAG-7 | Bulldozer (Minimal Wear)@28.39@26.970499999999998
FAMAS | Styx (Well-Worn)@9.0@8.549999999999999
Sticker | Bash (Holo)@3.83@3.6385
Souvenir UMP-45 | Indigo (Minimal Wear)@3.23@3.0685
StatTrak™ P90 | Blind Spot (Field-Tested)@13.91@13.2145
StatTrak™ Five-SeveN | Urban Hazard (Minimal Wear)@3.88@3.686
Sticker | HellRaisers | Katowice 2015@51.96@49.362
Souvenir SSG 08 | Blue Spruce (Battle-Scarred)@41.96@39.862
P250 | Muertos (Battle-Scarred)@5.69@5.4055
StatTrak™ CZ75-Auto | Tread Plate (Minimal Wear)@12.29@11.675499999999998
SSG 08 | Detour (Well-Worn)@10.66@10.126999999999999
StatTrak™ Galil AR | Rocket Pop (Minimal Wear)@5.17@4.911499999999999
AWP | Pit Viper (Minimal Wear)@0.61@0.5795
Sticker | Unicorn@1.05@0.9974999999999999
Souvenir MAG-7 | Sand Dune (Factory New)@16.08@15.275999999999998
StatTrak™ Galil AR | Shattered (Minimal Wear)@12.92@12.274
AK-47 | Safari Mesh (Factory New)@1.77@1.6815
Souvenir PP-Bizon | Brass (Field-Tested)@7.5@7.125
Souvenir MAG-7 | Silver (Factory New)@13.0@12.35
Five-SeveN | Copper Galaxy (Factory New)@8.11@7.7044999999999995
Souvenir Tec-9 | Army Mesh (Minimal Wear)@25.13@23.873499999999996
Sticker | Bish (Holo)@4.8@4.56
Souvenir MP9 | Setting Sun (Field-Tested)@8.22@7.809
M4A1-S | Nitro (Field-Tested)@0.31@0.2945
M4A4 | Griffin (Factory New)@6.1@5.794999999999999
Tec-9 | Hades (Factory New)@28.46@27.037
AUG | Copperhead (Field-Tested)@148.88@141.43599999999998
Galil AR | Cerberus (Battle-Scarred)@16.02@15.219
P250 | Muertos (Field-Tested)@5.27@5.006499999999999
Nova | Tempest (Factory New)@13.5@12.825
StatTrak™ Dual Berettas | Black Limba (Minimal Wear)@9.6@9.12
Galil AR | Aqua Terrace (Minimal Wear)@199.96@189.962
Sticker | Bosh (Holo)@3.79@3.6005
Sticker | Cloud9 | Cologne 2014@9.08@8.626
M4A4 | Urban DDPAT (Factory New)@5.38@5.111
StatTrak™ USP-S | Torque (Well-Worn)@2.89@2.7455
M4A1-S | Basilisk (Minimal Wear)@7.61@7.2295
StatTrak™ MP9 | Deadly Poison (Factory New)@7.69@7.3055
Sticker | Ninjas in Pyjamas (Holo) | Cologne 2014@35.5@33.725
AUG | Chameleon (Well-Worn)@4.68@4.446
CZ75-Auto | (Factory New)@46.47@44.146499999999996
Souvenir PP-Bizon | Urban Dashed (Well-Worn)@0.84@0.7979999999999999
StatTrak™ P250 | Supernova (Well-Worn)@4.22@4.0089999999999995
M4A4 | Radiation Hazard (Field-Tested)@36.25@34.4375
Five-SeveN | Copper Galaxy (Minimal Wear)@7.75@7.3625
Souvenir UMP-45 | Urban DDPAT (Minimal Wear)@1.54@1.4629999999999999
SCAR-20 | Splash Jam (Field-Tested)@9.66@9.177
P250 | Crimson Kimono (Factory New)@33.83@32.13849999999999
StatTrak™ M4A4 | Faded Zebra (Well-Worn)@6.58@6.2509999999999994
Souvenir Tec-9 | VariCamo (Minimal Wear)@2.17@2.0614999999999997
StatTrak™ SG 553 | Ultraviolet (Well-Worn)@30.01@28.5095
XM1014 | Bone Machine (Factory New)@8.39@7.9705
Sticker | HellRaisers | DreamHack 2014@59.0@56.05
Sawed-Off | Copper (Battle-Scarred)@149.85@142.3575
M4A1-S | Nitro (Battle-Scarred)@0.3@0.285
M4A4 | Desert-Strike (Minimal Wear)@6.54@6.213
MAC-10 | Ultraviolet (Factory New)@50.71@48.1745
StatTrak™ MP7 | Skulls (Minimal Wear)@28.65@27.217499999999998
StatTrak™ Negev | Loudmouth (Battle-Scarred)@2.63@2.4985
StatTrak™ FAMAS | Neural Net (Well-Worn)@2.38@2.2609999999999997
StatTrak™ Desert Eagle | Naga (Field-Tested)@4.75@4.5125
AWP | Snake Camo (Battle-Scarred)@100.0@95.0
Sticker | Bombsquad (Foil)@0.89@0.8454999999999999
Souvenir MAC-10 | Nuclear Garden (Field-Tested)@8.41@7.9895
Souvenir MP7 | Gunsmoke (Field-Tested)@0.16@0.152
StatTrak™ P90 | Module (Factory New)@3.43@3.2585
P2000 | Scorpion (Factory New)@4.65@4.4175
CZ75-Auto | Nitro (Well-Worn)@9.0@8.549999999999999
SG 553 | Traveler (Factory New)@24.4@23.179999999999996
SSG 08 | Detour (Field-Tested)@10.99@10.4405
Nova | Modern Hunter (Battle-Scarred)@41.94@39.842999999999996
Sticker | London Conspiracy (Holo) | Cologne 2014@128.37@121.9515
StatTrak™ Sawed-Off | Serenity (Minimal Wear)@6.62@6.289
AWP | Worm God (Well-Worn)@1.77@1.6815
StatTrak™ M4A4 | Faded Zebra (Battle-Scarred)@5.42@5.149
StatTrak™ CZ75-Auto | Pole Position (Minimal Wear)@2.71@2.5745
Souvenir AUG | Radiation Hazard (Minimal Wear)@5.25@4.9875
M4A4 | Radiation Hazard (Battle-Scarred)@38.68@36.745999999999995
Souvenir MAC-10 | Nuclear Garden (Battle-Scarred)@8.67@8.2365
Souvenir P2000 | Grassland (Well-Worn)@0.51@0.4845
Souvenir SSG 08 | Blue Spruce (Field-Tested)@26.13@24.8235
StatTrak™ M4A4 | Faded Zebra (Field-Tested)@4.48@4.256
FAMAS | Pulse (Factory New)@8.89@8.445500000000001
StatTrak™ Desert Eagle | Bronze Deco (Factory New)@1.58@1.501
MP9 | Hypnotic (Minimal Wear)@16.06@15.256999999999998
Nova | Walnut (Factory New)@20.7@19.665
StatTrak™ SG 553 | Ultraviolet (Battle-Scarred)@27.07@25.7165
Souvenir MP9 | Setting Sun (Well-Worn)@5.92@5.624
M4A1-S | Blood Tiger (Minimal Wear)@4.79@4.5504999999999995
MAC-10 | Nuclear Garden (Factory New)@12.18@11.571
FAMAS | Styx (Field-Tested)@3.9@3.7049999999999996
Souvenir MP7 | Gunsmoke (Battle-Scarred)@0.1@0.095
Sticker | Epsilon eSports (Holo) | Cologne 2014@55.0@52.25
MP9 | Setting Sun (Factory New)@11.99@11.3905
UMP-45 | Fallout Warning (Minimal Wear)@19.81@18.819499999999998
StatTrak™ FAMAS | Neural Net (Field-Tested)@2.2@2.09
StatTrak™ P90 | Desert Warfare (Field-Tested)@3.99@3.7905
StatTrak™ P2000 | Pulse (Factory New)@4.52@4.294
StatTrak™ Negev | Loudmouth (Field-Tested)@1.99@1.8904999999999998
Tec-9 | Terrace (Field-Tested)@175.49@166.7155
AWP | Pit Viper (Well-Worn)@0.54@0.513
Five-SeveN | Contractor (Factory New)@20.49@19.4655
Tec-9 | Isaac (Factory New)@13.52@12.844
StatTrak™ Nova | Ranger (Factory New)@2.36@2.242
Souvenir M4A4 | Tornado (Battle-Scarred)@9.63@9.1485
StatTrak™ P250 | Valence (Minimal Wear)@0.95@0.9025
AK-47 | Blue Laminate (Minimal Wear)@14.79@14.050499999999998
StatTrak™ Dual Berettas | Retribution (Minimal Wear)@12.91@12.2645
Five-SeveN | Copper Galaxy (Field-Tested)@8.1@7.694999999999999
Sticker | MTS GameGod Wolf (Holo) | Cologne 2014@49.0@46.55
StatTrak™ SG 553 | Ultraviolet (Field-Tested)@28.41@26.9895
StatTrak™ MAC-10 | Malachite (Minimal Wear)@5.97@5.671499999999999
StatTrak™ FAMAS | Doomkitty (Minimal Wear)@4.72@4.484
StatTrak™ UMP-45 | Bone Pile (Minimal Wear)@9.0@8.549999999999999
StatTrak™ MP9 | Ruby Poison Dart (Well-Worn)@6.61@6.2795
StatTrak™ FAMAS | Neural Net (Battle-Scarred)@2.29@2.1755
Souvenir AUG | Radiation Hazard (Battle-Scarred)@3.85@3.6574999999999998
MP7 | Ocean Foam (Minimal Wear)@7.83@7.4384999999999994
StatTrak™ Dual Berettas | Urban Shock (Minimal Wear)@6.45@6.1274999999999995
StatTrak™ SG 553 | Wave Spray (Battle-Scarred)@7.1@6.744999999999999
StatTrak™ Desert Eagle | Naga (Well-Worn)@4.36@4.142
Sticker | Fearsome (Holo)@0.8@0.76
M4A4 | Radiation Hazard (Well-Worn)@45.19@42.930499999999995
P250 | Franklin (Factory New)@1.98@1.881
StatTrak™ Desert Eagle | Naga (Battle-Scarred)@4.55@4.3225
StatTrak™ MP7 | Skulls (Field-Tested)@27.51@26.1345
AWP | Worm God (Field-Tested)@1.72@1.634
StatTrak™ Sawed-Off | Highwayman (Minimal Wear)@6.49@6.1655
Souvenir Sawed-Off | Rust Coat (Well-Worn)@16.27@15.456499999999998
StatTrak™ PP-Bizon | Osiris (Minimal Wear)@3.25@3.0875
StatTrak™ USP-S | Torque (Field-Tested)@2.62@2.489
Sticker | ESL One Cologne 2014 (Blue)@19.37@18.4015
StatTrak™ Glock-18 | Bunsen Burner (Field-Tested)@1.07@1.0165
StatTrak™ SG 553 | Wave Spray (Well-Worn)@7.41@7.039499999999999
XM1014 | VariCamo Blue (Field-Tested)@14.99@14.240499999999999
USP-S | Para Green (Factory New)@21.18@20.121
StatTrak™ MP9 | Ruby Poison Dart (Battle-Scarred)@3.67@3.4865
Sticker | Vox Eminor (Holo) | Cologne 2014@135.0@128.25
MP7 | Full Stop (Minimal Wear)@54.13@51.4235
Sticker | Chabo@0.53@0.5035
StatTrak™ Glock-18 | Bunsen Burner (Battle-Scarred)@1.24@1.178
StatTrak™ Tec-9 | Sandstorm (Minimal Wear)@4.63@4.398499999999999
Enfu Sticker Capsule@0.91@0.8644999999999999
StatTrak™ PP-Bizon | Blue Streak (Battle-Scarred)@14.38@13.661
Sticker | Copenhagen Wolves (Holo) | Cologne 2014@80.0@76.0
Souvenir P2000 | Grassland (Battle-Scarred)@0.11@0.1045
StatTrak™ USP-S | Blood Tiger (Minimal Wear)@5.63@5.3485
ESL One Cologne 2014 Legends@92.03@87.4285
StatTrak™ P250 | Supernova (Field-Tested)@4.0@3.8
Souvenir M4A4 | Tornado (Field-Tested)@9.93@9.433499999999999
MAC-10 | Commuter (Factory New)@27.8@26.41
StatTrak™ P90 | Virus (Well-Worn)@5.03@4.7785
M4A1-S | Basilisk (Battle-Scarred)@6.95@6.6025
StatTrak™ Five-SeveN | Urban Hazard (Field-Tested)@3.76@3.5719999999999996
StatTrak™ CZ75-Auto | Tigris (Minimal Wear)@3.58@3.401
StatTrak™ G3SG1 | Demeter (Field-Tested)@7.46@7.087
Sticker | Natus Vincere | DreamHack 2014@81.7@77.615
Galil AR | Urban Rubble (Factory New)@22.79@21.650499999999997
SCAR-20 | Palm (Factory New)@289.15@274.69249999999994
Desert Eagle | Naga (Factory New)@5.55@5.2725
StatTrak™ P250 | Hive (Minimal Wear)@6.81@6.469499999999999
StatTrak™ PP-Bizon | Blue Streak (Field-Tested)@4.15@3.9425000000000003
Souvenir Negev | CaliCamo (Well-Worn)@10.5@9.975
Souvenir PP-Bizon | Brass (Well-Worn)@7.0@6.6499999999999995
M4A4 | Desert-Strike (Well-Worn)@19.58@18.601
Five-SeveN | Jungle (Factory New)@34.74@33.003
AK-47 | Blue Laminate (Field-Tested)@14.61@13.879499999999998
StatTrak™ Sawed-Off | Serenity (Well-Worn)@5.14@4.882999999999999
PP-Bizon | Chemical Green (Factory New)@11.53@10.953499999999998
PP-Bizon | Rust Coat (Field-Tested)@23.28@22.116
StatTrak™ Galil AR | Shattered (Battle-Scarred)@11.6@11.02
StatTrak™ MAC-10 | Heat (Field-Tested)@7.34@6.973
StatTrak™ SG 553 | Wave Spray (Field-Tested)@7.88@7.486
Galil AR | Rocket Pop (Factory New)@8.0@7.6
StatTrak™ UMP-45 | Bone Pile (Field-Tested)@9.05@8.5975
AUG | Colony (Factory New)@17.67@16.7865
CZ75-Auto | Nitro (Battle-Scarred)@21.12@20.064
StatTrak™ UMP-45 | Corporal (Factory New)@2.39@2.2705
Sticker | Fnatic | DreamHack 2014@29.0@27.549999999999997
M4A1-S | Basilisk (Field-Tested)@6.41@6.0895
StatTrak™ FAMAS | Sergeant (Well-Worn)@6.5@6.175
StatTrak™ SG 553 | Pulse (Battle-Scarred)@7.58@7.201
StatTrak™ PP-Bizon | Osiris (Battle-Scarred)@1.83@1.7385
AUG | Chameleon (Field-Tested)@4.34@4.122999999999999
Sticker | 3DMAX | Katowice 2015@78.39@74.4705
Souvenir P90 | Fallout Warning (Battle-Scarred)@4.35@4.132499999999999
StatTrak™ MP9 | Ruby Poison Dart (Field-Tested)@3.45@3.2775
StatTrak™ P250 | Hive (Field-Tested)@6.12@5.814
StatTrak™ P90 | Virus (Battle-Scarred)@4.87@4.6265
StatTrak™ Nova | Koi (Minimal Wear)@4.9@4.655
StatTrak™ Galil AR | Shattered (Field-Tested)@12.36@11.741999999999999
Sticker | Virtus.Pro | DreamHack 2014@32.0@30.4
StatTrak™ CZ75-Auto | Twist (Factory New)@3.89@3.6955
Souvenir Five-SeveN | Hot Shot (Field-Tested)@3.94@3.743
StatTrak™ FAMAS | Sergeant (Field-Tested)@6.83@6.4885
Souvenir UMP-45 | Fallout Warning (Battle-Scarred)@5.16@4.902
StatTrak™ Dual Berettas | Black Limba (Field-Tested)@7.16@6.802
StatTrak™ MAC-10 | Heat (Battle-Scarred)@5.86@5.567
M4A1-S | Blood Tiger (Field-Tested)@4.76@4.521999999999999
StatTrak™ SG 553 | Pulse (Field-Tested)@7.6@7.22
StatTrak™ Dual Berettas | Black Limba (Battle-Scarred)@7.91@7.5145
Sticker | Fnatic | Katowice 2015@14.54@13.812999999999999
Souvenir AUG | Radiation Hazard (Field-Tested)@1.68@1.5959999999999999
Souvenir AUG | Storm (Minimal Wear)@45.0@42.75
StatTrak™ CZ75-Auto | Pole Position (Well-Worn)@1.46@1.387
Sticker | PENTA Sports (Holo) | Katowice 2015@53.14@50.483
StatTrak™ FAMAS | Sergeant (Battle-Scarred)@6.27@5.956499999999999
Five-SeveN | Nitro (Battle-Scarred)@58.8@55.85999999999999
FAMAS | Pulse (Minimal Wear)@6.54@6.213
StatTrak™ Five-SeveN | Kami (Factory New)@5.25@4.9875
StatTrak™ Five-SeveN | Nightshade (Minimal Wear)@6.48@6.156
Souvenir SG 553 | Waves Perforated (Battle-Scarred)@13.94@13.242999999999999
StatTrak™ P90 | Virus (Field-Tested)@4.68@4.446
StatTrak™ MAC-10 | Malachite (Battle-Scarred)@24.0@22.799999999999997
StatTrak™ Dual Berettas | Urban Shock (Well-Worn)@5.15@4.8925
P90 | Elite Build (Factory New)@1.05@0.9974999999999999
Nova | Blaze Orange (Field-Tested)@23.48@22.306
XM1014 | Heaven Guard (Factory New)@12.54@11.912999999999998
USP-S | Business Class (Field-Tested)@75.9@72.105
StatTrak™ P2000 | Ivory (Factory New)@3.39@3.2205
AK-47 | Emerald Pinstripe (Well-Worn)@2.78@2.6409999999999996
Souvenir Five-SeveN | Hot Shot (Well-Worn)@2.53@2.4034999999999997
M249 | Blizzard Marbleized (Minimal Wear)@29.4@27.929999999999996
M4A4 | Evil Daimyo (Minimal Wear)@2.97@2.8215
MAC-10 | Curse (Factory New)@12.85@12.2075
Souvenir SG 553 | Gator Mesh (Field-Tested)@1.8@1.71
AK-47 | Emerald Pinstripe (Field-Tested)@3.24@3.078
StatTrak™ PP-Bizon | Osiris (Well-Worn)@2.8@2.6599999999999997
Souvenir Five-SeveN | Contractor (Minimal Wear)@1.49@1.4155
StatTrak™ P250 | Valence (Well-Worn)@0.66@0.627
AWP | Snake Camo (Field-Tested)@113.21@107.5495
AUG | Chameleon (Battle-Scarred)@3.94@3.743
Sticker | Team LDLC.com (Holo) | Cologne 2014@154.96@147.212
StatTrak™ Dual Berettas | Urban Shock (Field-Tested)@4.98@4.731
Souvenir MP7 | Orange Peel (Battle-Scarred)@1.5@1.4249999999999998
Sticker | Silent Ninja@0.28@0.266
StatTrak™ USP-S | Blood Tiger (Field-Tested)@5.13@4.8735
AK-47 | Emerald Pinstripe (Battle-Scarred)@2.69@2.5555
StatTrak™ Glock-18 | Catacombs (Factory New)@2.31@2.1945
StatTrak™ MAC-10 | Malachite (Field-Tested)@4.55@4.3225
Sticker | ESL One | Katowice 2015@7.06@6.706999999999999
Sticker | Virtus.pro | Katowice 2015@14.14@13.433
Souvenir Nova | Polar Mesh (Minimal Wear)@1.01@0.9594999999999999
Souvenir Nova | Sand Dune (Battle-Scarred)@29.9@28.404999999999998
Sticker | Thug Life@0.81@0.7695
Sawed-Off | Irradiated Alert (Factory New)@29.58@28.100999999999996
Nova | Rising Skull (Factory New)@8.22@7.809
StatTrak™ MAC-10 | Heat (Well-Worn)@8.51@8.0845
Sticker | Easy Peasy@0.39@0.3705
AUG | Condemned (Factory New)@0.37@0.3515
Desert Eagle | Heirloom (Well-Worn)@17.12@16.264
Sticker | Drug War Veteran@0.95@0.9025
P90 | Desert Warfare (Factory New)@4.45@4.2275
Souvenir Sawed-Off | Snake Camo (Well-Worn)@7.5@7.125
StatTrak™ Sawed-Off | Highwayman (Well-Worn)@3.83@3.6385
Souvenir SG 553 | Fallout Warning (Field-Tested)@1.94@1.843
Sticker | Aces High (Holo)@3.56@3.3819999999999997
Sticker | Kawaii Killer Terrorist@0.9@0.855
Sticker | TSM Kinguin | Katowice 2015@9.35@8.882499999999999
Sticker | Vigilance (Holo)@1.76@1.672
SG 553 | Damascus Steel (Factory New)@1.98@1.881
Souvenir XM1014 | Fallout Warning (Well-Worn)@5.78@5.491
MP7 | Full Stop (Battle-Scarred)@50.44@47.91799999999999
P250 | Modern Hunter (Field-Tested)@26.0@24.7
Souvenir P2000 | Grassland (Field-Tested)@0.11@0.1045
StatTrak™ P90 | Elite Build (Field-Tested)@0.38@0.361
Sticker | Headshot Guarantee@1.93@1.8335
